Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"638,767,178.76",5.89,"638,767,178.76","4,461,911.00",037833100,US0378331005,2046251,143.16,United States,NASDAQ,USD,1.0,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"481,018,122.97",4.43,"481,018,122.97","2,070,409.00",594918104,US5949181045,2588173,232.33,United States,NASDAQ,USD,1.0,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"389,908,915.38",3.59,"389,908,915.38","117,226.00",023135106,US0231351067,2000019,"3,326.13",United States,NASDAQ,USD,1.0,USD,-
FB,FACEBOOK CLASS A INC,Communication,Equity,"187,250,456.55",1.73,"187,250,456.55","663,891.00",30303M102,US30303M1027,B7TL820,282.05,United States,NASDAQ,USD,1.0,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"184,624,977.03",1.7,"184,624,977.03","209,067.00",88160R101,US88160R1014,B616C79,883.09,United States,NASDAQ,USD,1.0,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"158,357,942.05",1.46,"158,357,942.05","82,999.00",02079K305,US02079K3059,BYVY8G0,"1,907.95",United States,NASDAQ,USD,1.0,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"154,142,261.52",1.42,"154,142,261.52","80,398.00",02079K107,US02079K1079,BYY88Y7,"1,917.24",United States,NASDAQ,USD,1.0,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"124,288,273.52",1.15,"124,288,273.52","729,049.00",478160104,US4781601046,2475833,170.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"110,191,276.26",1.02,"110,191,276.26","837,447.00",46625H100,US46625H1005,2190385,131.58,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
V,VISA INC CLASS A,Information Technology,Equity,"94,301,096.14",0.87,"94,301,096.14","466,814.00",92826C839,US92826C8394,B2PZN04,202.01,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
