Ticker,Date_added
MMM,1976-08-09
ABT,1964-03-31
ABBV,2012-12-31
ABMD,2018-05-31
ACN,2011-07-06
ATVI,2015-08-31
ADBE,1997-05-05
AMD,2017-03-20
AAP,2015-07-09
AES,1998-10-02
AFL,1999-05-28
A,2000-06-05
APD,1985-04-30
AKAM,2007-07-12
ALK,2016-05-13
ALB,2016-07-01
ARE,2017-03-20
ALXN,2012-05-25
ALGN,2017-06-19
ALLE,2013-12-02
LNT,2016-07-01
ALL,1995-07-13
GOOGL,2014-04-03
GOOG,2006-04-03
MO,1957-03-04
AMZN,2005-11-18
AMCR,2019-06-07
AEE,1991-09-19
AAL,2015-03-23
AEP,1957-03-04
AXP,1976-06-30
AIG,1980-03-31
AMT,2007-11-19
AWK,2016-03-04
AMP,2005-10-03
ABC,2001-08-30
AME,2013-09-23
AMGN,1992-01-02
APH,2008-09-30
ADI,1999-10-12
ANSS,2017-06-19
ANTM,2002-07-25
AON,1996-04-23
AOS,2017-07-26
APA,1997-07-28
AAPL,1982-11-30
AMAT,1995-03-16
APTV,2012-12-24
ADM,1981-07-29
ANET,2018-08-28
AJG,2016-05-31
AIZ,2007-04-10
T,1983-11-30 (1957-03-04)
ATO,2019-02-15
ADSK,1989-12-01
ADP,1981-03-31
AZO,1997-01-02
AVB,2007-01-10
AVY,1987-12-31
BKR,2017-07-07
BLL,1984-10-31
BAC,1976-06-30
BK,1995-03-31
BAX,1972-09-30
BDX,1972-09-30
BRK.B,2010-02-16
BBY,1999-06-29
BIO,2020-06-22
BIIB,2003-11-13
BLK,2011-04-04
BA,1957-03-04
BKNG,2009-11-06
BWA,2011-12-19
BXP,2006-04-03
BSX,1995-02-24
BMY,1957-03-04
AVGO,2014-05-08
BR,2018-06-18
BF.B,1982-10-31
CHRW,2007-03-02
COG,2008-06-23
CDNS,2017-09-18
CPB,1957-03-04
COF,1998-07-01
CAH,1997-05-27
KMX,2010-06-28
CCL,1998-12-22
CARR,2020-04-03
CTLT,2020-09-21
CAT,1957-03-04
CBOE,2017-03-01
CBRE,2006-11-10
CDW,2019-09-23
CE,2018-12-24
CNC,2016-03-30
CNP,1985-07-31
CERN,2010-04-30
CF,2008-08-27
SCHW,1997-06-02
CHTR,2016-09-08
CVX,1957-03-04
CMG,2011-04-28
CB,2010-07-15
CHD,2015-12-29
CI,1976-06-30
CINF,1997-12-18
CTAS,2001-03-01
CSCO,1993-12-01
C,1988-05-31
CFG,2016-01-29
CTXS,1999-12-01
CLX,1969-03-31
CME,2006-08-11
CMS,1999-05-03
KO,1957-03-04
CTSH,2006-11-17
CL,1957-03-04
CMCSA,2002-11-19
CMA,1995-12-01
CAG,1983-08-31
COP,1957-03-04
ED,
STZ,2005-07-01
COO,2016-09-23
CPRT,2018-07-02
GLW,
CTVA,2019-06-03
COST,1993-10-01
CCI,2012-03-14
CSX,1967-09-30
CMI,1965-03-31
CVS,1957-03-04
DHI,2005-06-22
DHR,
DRI,
DVA,2008-07-31
DE,1957-03-04
DAL,2013-09-11
XRAY,2008-11-14
DVN,2000-08-30
DXCM,2020-05-12
FANG,2018-12-03
DLR,2016-05-18
DFS,2007-07-02
DISCA,2010-03-01
DISCK,2014-08-07
DISH,2017-03-13
DG,2012-12-03
DLTR,2011-12-19
D,
DPZ,2020-05-12
DOV,1985-10-31
DOW,2019-04-01
DTE,1957-03-04
DUK,1976-06-30
DRE,2017-07-26
DD,2019-04-02
DXC,2017-04-04
EMN,1994-01-01
ETN,
EBAY,
ECL,1989-01-31
EIX,1957-03-04
EW,2011-04-01
EA,2002-07-22
EMR,1965-03-31
ENPH,2021-01-07
ETR,1957-03-04
EOG,2000-11-02
EFX,1997-06-19
EQIX,2015-03-20
EQR,2001-12-03
ESS,2014-04-02
EL,2006-01-05
ETSY,2020-09-21
EVRG,2018-06-05
ES,
RE,2017-06-19
EXC,1957-03-04
EXPE,2007-10-02
EXPD,2007-10-10
EXR,2016-01-19
XOM,1957-03-04
FFIV,2010-12-20
FB,2013-12-23
FAST,2008-09-15
FRT,2016-02-01
FDX,1980-12-31
FIS,2006-11-10
FITB,
FE,
FRC,2019-01-02
FISV,2001-04-02
FLT,2018-06-20
FLIR,2009-01-02
FLS,2008-10-02
FMC,2009-08-19
F,1957-03-04
FTNT,2018-10-11
FTV,2016-07-01
FBHS,2016-06-22
FOXA,2013-07-01
FOX,2015-09-18
BEN,
FCX,
GPS,1986-08-31
GRMN,2012-12-12
IT,2017-04-05
GD,1957-03-04
GE,
GIS,1969-03-31
GM,2013-06-06
GPC,1973-12-31
GILD,2004-07-01
GL,1989-04-30
GPN,2016-04-25
GS,2002-07-22
GWW,1981-06-30
HAL,1957-03-04
HBI,2015-03-20
HIG,1957-03-04
HAS,1984-09-30
HCA,2015-01-27
PEAK,2008-03-31
HSIC,2015-03-17
HSY,1957-03-04
HES,1984-05-31
HPE,2015-11-02
HLT,2017-06-19
HFC,2018-06-18
HOLX,2016-03-30
HD,1988-03-31
HON,1964-03-31
HRL,2009-03-04
HST,2007-03-20
HWM,1964-03-31
HPQ,1974-12-31
HUM,
HBAN,
HII,2018-01-03
IEX,2019-08-09
IDXX,2017-01-05
INFO,2017-06-02
ITW,1986-02-28
ILMN,2015-11-19
INCY,2017-02-28
IR,2020-03-03
INTC,1976-12-31
ICE,2007-09-26
IBM,1957-03-04
IP,1957-03-04
IPG,1992-10-01
IFF,1976-03-31
INTU,2000-12-05
ISRG,2008-06-02
IVZ,2008-08-21
IPGP,2018-03-07
IQV,2017-08-29
IRM,2009-01-06
JKHY,2018-11-13
J,2007-10-26
JBHT,2015-07-01
SJM,2008-11-06
JNJ,1973-06-30
JCI,2010-08-27
JPM,1975-06-30
JNPR,2006-06-02
KSU,2013-05-24
K,
KEY,1994-03-01
KEYS,2018-11-06
KMB,1957-03-04
KIM,2006-04-04
KMI,2012-05-25
KLAC,
KHC,2015-07-06
KR,1957-03-04
LB,1983-09-30
LHX,
LH,2004-11-01
LRCX,2012-06-29
LW,2018-12-03
LVS,2019-10-03
LEG,
LDOS,2019-08-09
LEN,2005-10-04
LLY,1970-12-31
LNC,1976-06-30
LIN,1992-07-01
LYV,2019-12-23
LKQ,2016-05-23
LMT,1984-07-31
L,
LOW,1984-02-29
LUMN,1999-03-25
LYB,2012-09-05
MTB,2004-02-23
MRO,1991-05-01
MPC,2011-07-01
MKTX,2019-07-01
MAR,
MMC,1987-08-31
MLM,2014-07-02
MAS,1981-06-30
MA,2008-07-18
MKC,
MXIM,2018-12-03
MCD,1970-06-30
MCK,
MDT,1986-10-31
MRK,1957-03-04
MET,
MTD,2016-09-06
MGM,2017-07-26
MCHP,2007-09-07
MU,1994-09-27
MSFT,1994-06-01
MAA,2016-12-02
MHK,2013-12-23
TAP,1976-06-30
MDLZ,2012-10-02
MNST,2012-06-28
MCO,
MS,
MOS,2011-09-26
MSI,
MSCI,2018-04-04
NDAQ,2008-10-22
NTAP,1999-06-25
NFLX,2010-12-20
NWL,1989-04-30
NEM,1969-06-30
NWSA,2013-08-01
NWS,2015-09-18
NEE,1976-06-30
NLSN,2013-07-09
NKE,1988-11-30
NI,
NSC,1957-03-04
NTRS,
NOC,1985-06-30
NLOK,2003-03-25
NCLH,2017-10-13
NOV,2005-03-14
NRG,2010-01-29
NUE,1985-04-30
NVDA,2001-11-30
NVR,2019-09-26
ORLY,2009-03-27
OXY,1982-12-31
ODFL,2019-12-09
OMC,
OKE,2010-03-15
ORCL,1989-08-31
OTIS,2020-04-03
PCAR,1980-12-31
PKG,2017-07-26
PH,1985-11-30
PAYX,
PAYC,2020-01-28
PYPL,2015-07-20
PNR,2012-10-01
PBCT,2008-11-13
PEP,1957-03-04
PKI,1985-05-31
PRGO,2011-12-19
PFE,1957-03-04
PM,2008-03-31
PSX,2012-05-01
PNW,
PXD,2008-09-24
PNC,1988-04-30
POOL,2020-10-07
PPG,1957-03-04
PPL,
PFG,2002-07-22
PG,1957-03-04
PGR,1997-08-04
PLD,2003-07-17
PRU,2002-07-22
PEG,1957-03-04
PSA,2005-08-19
PHM,1984-04-30
PVH,2013-02-15
QRVO,2015-06-11
PWR,2009-07-01
QCOM,
DGX,2002-12-12
RL,2007-02-02
RJF,2017-03-20
RTX,
O,2015-04-07
REG,2017-03-02
REGN,2013-05-01
RF,1998-08-28
RSG,2008-12-05
RMD,2017-07-26
RHI,2000-12-05
ROK,
ROL,2018-10-01
ROP,2009-12-23
ROST,2009-12-21
RCL,2014-12-05
SPGI,
CRM,2008-09-15
SBAC,2017-09-01
SLB,1965-03-31
STX,2012-07-02
SEE,1957-03-04
SRE,
NOW,2019-11-21
SHW,1964-06-30
SPG,2002-06-26
SWKS,2015-03-12
SLG,2015-03-20
SNA,1982-09-30
SO,1957-03-04
LUV,1994-07-01
SWK,1982-09-30
SBUX,
STT,
STE,2019-12-23
SYK,2000-12-12
SIVB,2018-03-19
SYF,2015-11-18
SNPS,2017-03-16
SYY,1986-12-31
TMUS,2019-07-15
TROW,
TTWO,2018-03-19
TPR,
TGT,1976-12-31
