                 count          mean           std            min           25%           50%           75%           max
sp               2023.0  1.112210e-01  3.144833e-01       0.000000  0.000000e+00  0.000000e+00  0.000000e+00  1.000000e+00
opn_pctchg_1d    2023.0  1.743778e-02  4.945503e-02      -0.417960 -1.932124e-03  1.477541e-02  3.424071e-02  8.790057e-01
hi_pctchg_1d     2023.0  1.432488e-02  5.306796e-02      -0.488353 -2.893428e-03  1.012829e-02  2.573159e-02  1.470297e+00
lo_pctchg_1d     2023.0  1.801840e-02  4.282864e-02      -0.427627  6.100083e-04  1.544402e-02  3.259484e-02  8.558952e-01
cl_pctchg_1d     2023.0  2.243399e-02  5.379608e-02      -0.420785  4.378526e-03  1.906744e-02  3.583222e-02  1.411483e+00
vl_pctchg_1d     2023.0  1.526545e-01  2.947294e+00      -0.820533 -2.706733e-01 -6.342566e-02  2.191309e-01  1.267877e+02
vwap_pctchg_1d   2023.0  1.496388e-02  4.637086e-02      -0.440872 -3.340034e-03  1.110875e-02  2.844078e-02  1.034429e+00
adp_100_stretch  2023.0  1.264529e-01  2.127554e-01      -0.461734  2.162528e-02  8.513612e-02  1.826493e-01  4.389379e+00
adp_200_stretch  2023.0  2.301882e-01  3.133285e-01      -0.566341  6.358337e-02  1.766568e-01  3.217033e-01  5.711133e+00
adp_50_stretch   2023.0  4.575646e-02  1.475837e-01      -0.444013 -1.908840e-02  1.919380e-02  7.947353e-02  3.557524e+00
wk52hi_stretch   2023.0 -1.760524e-01  1.456520e-01      -0.832900 -2.388305e-01 -1.314772e-01 -7.474431e-02 -1.886911e-04
wk52lo_stretch   2023.0  2.121305e+00  3.076048e+00       0.030934  7.153302e-01  1.246758e+00  2.337711e+00  4.185942e+01
adv_21_stretch   2023.0  5.881657e-02  2.919816e+00      -0.876282 -3.503378e-01 -1.767545e-01  8.293705e-02  1.237027e+02
adv_30_stretch   2023.0  5.291596e-02  2.405736e+00      -0.837855 -3.585804e-01 -1.809222e-01  6.895649e-02  9.729198e+01
adv_90_stretch   2023.0  1.640861e-01  4.665655e+00      -0.867078 -3.532924e-01 -1.651418e-01  1.252550e-01  2.037117e+02
sho_y            2023.0  1.277530e+08  3.800838e+08  100000.000000  3.068450e+07  5.231500e+07  1.122405e+08  7.542216e+09
noge             2023.0  5.663652e-05  1.225175e-04       0.000000  2.353079e-06  1.401871e-05  5.602877e-05  1.883294e-03
noge_21          2023.0  6.142465e-05  2.186373e-04       0.000000  1.972261e-06  1.157409e-05  4.962789e-05  7.151204e-03
nope_adv_21      2023.0  2.601694e-04  8.266187e-04      -0.004328  2.579920e-06  5.057093e-05  2.151663e-04  1.462492e-02
nope_metric      2023.0  2.473932e-04  6.633966e-04      -0.004020  3.019911e-06  6.318434e-05  2.412381e-04  1.075083e-02
delta_over_sho   2023.0  6.335560e-06  2.980109e-05      -0.000136  1.499050e-08  4.378667e-07  2.647376e-06  6.885307e-04
gamma_over_sho   2023.0  1.410368e-06  6.088944e-06       0.000000  1.398859e-08  1.026179e-07  5.796396e-07  1.446575e-04
